Codibge7;acidente;homicidio;suicidio;indeterminado;veiculos;h_legal
1718881;1;0;0;0;0;0
2409209;0;0;0;0;0;0
4215687;0;0;0;0;0;0
3104403;1;0;0;0;0;0
4202081;0;1;0;0;0;0
5219506;0;0;0;1;1;0
1720259;0;0;0;0;0;0
4218855;0;0;0;0;0;0
3101409;0;0;0;0;0;0
4321832;0;2;1;0;0;0
4300570;0;0;0;0;0;0
1717206;0;0;0;0;0;0
4318051;0;0;1;0;3;0
2510600;0;0;0;0;0;0
5003900;1;1;0;0;0;0
2802502;0;0;0;0;0;0
5206305;0;1;0;0;0;0
2506202;0;0;0;0;0;0
5221577;0;1;1;0;0;0
3537156;0;0;0;0;0;0
5216452;0;0;0;0;1;0
5108857;0;0;0;0;0;0
4321493;1;0;0;1;1;0
4309571;0;0;1;0;0;0
2807303;1;0;0;0;1;0
3153301;0;0;0;0;1;0
2205359;0;0;0;0;0;0
3127354;0;0;0;0;0;0
5206602;0;0;0;0;2;0
4305116;0;0;0;0;1;0
4321329;1;1;0;0;1;0
3140407;0;0;0;0;0;0
4306973;0;0;0;0;1;0
3116902;1;1;0;0;3;0
2805000;0;0;0;0;1;0
2411601;0;0;0;0;1;0
2515708;0;0;0;0;0;0
2210391;1;0;0;1;0;0
2400406;0;0;0;0;1;0
3119609;0;0;0;0;0;0
2211506;0;0;0;0;0;0
4110300;0;1;1;0;0;0
4212601;0;0;0;0;1;0
4312617;0;0;0;2;0;0
3135001;0;0;0;0;2;0
4219853;0;0;1;0;0;0
5107263;0;0;0;0;0;0
3122801;0;0;0;0;0;0
3501509;0;0;0;0;0;0
5212006;2;0;0;0;0;0
3515905;0;0;0;0;1;0
4311734;0;0;0;0;0;0
4304952;0;1;1;1;2;0
4215901;0;0;1;0;0;0
4111605;0;0;0;0;0;0
4320230;0;0;0;0;0;0
3121506;0;0;0;0;0;0
5221080;0;0;0;0;1;0
4205175;0;0;0;0;0;0
3515129;0;0;0;0;0;0
4310363;0;0;0;0;0;0
5106174;0;0;0;0;0;0
3125804;0;0;0;0;1;0
3551306;0;0;0;0;0;0
2503753;0;0;0;0;2;0
4323200;0;0;0;0;3;0
2200806;0;0;1;0;1;0
5108352;1;0;0;0;1;0
3127370;0;0;1;0;0;0
3145802;0;0;0;0;0;0
3125507;0;0;1;0;0;0
2410603;0;2;0;0;1;0
4306379;0;0;2;0;2;0
3533205;0;0;0;0;0;0
2209609;0;0;0;0;3;0
5221809;1;0;0;0;0;0
2502052;0;0;0;0;0;0
2211605;0;0;1;0;2;0
4306957;2;0;0;0;0;0
2208601;0;0;0;0;0;0
4307054;0;1;0;0;1;0
4301859;0;0;0;0;0;0
4312377;0;1;0;1;0;0
4304655;0;0;0;0;2;0
3505005;0;0;0;0;0;0
3514924;0;0;0;0;0;0
1703057;0;0;0;0;2;0
3120003;0;2;1;1;0;0
4114351;1;0;0;0;1;0
5103957;1;0;0;0;0;0
3168051;0;0;0;0;1;0
5219209;0;1;2;1;1;0
4213005;0;0;0;0;0;0
1713957;0;0;0;0;0;0
1712801;0;1;0;0;0;0
3110400;0;0;0;0;0;0
3144201;1;0;0;0;1;0
2506509;0;0;0;0;0;0
3525409;0;0;0;0;0;0
4106852;0;1;0;0;3;0
2410702;0;2;0;0;2;0
3149507;0;0;0;0;0;0
4307401;0;0;0;1;0;0
2516151;0;0;0;0;1;0
5219456;1;1;0;0;0;0
1701051;0;1;0;0;0;0
4312443;0;0;1;0;1;0
4312757;0;2;1;0;2;0
4313003;0;0;0;0;1;0
4306320;0;1;2;1;0;0
3539707;1;0;0;0;0;0
5101001;1;0;0;0;0;0
3528304;0;0;0;0;0;0
4319125;0;1;3;0;0;0
2515609;1;0;0;0;0;0
3138302;0;0;0;0;0;0
4128625;0;1;0;0;4;0
4323309;0;0;0;0;0;0
4103370;0;0;0;1;0;0
4217105;0;0;0;0;1;0
4201109;1;0;0;0;0;0
3159704;0;0;0;0;2;0
3522158;1;0;0;0;0;0
5203609;0;0;0;0;1;0
2514602;0;1;0;0;5;0
2201309;0;0;0;0;0;0
4308656;0;0;0;0;0;0
2515203;0;0;0;0;0;0
3170479;0;0;0;0;0;0
3541653;1;0;0;1;1;0
3160603;0;0;0;0;0;0
5218391;0;0;1;0;2;0
3522000;0;0;0;1;0;0
4303673;2;0;2;0;0;0
4322525;0;0;0;0;0;0
2206951;0;0;0;0;1;0
3153004;0;0;0;0;0;0
2512747;0;1;0;0;2;0
3530904;1;0;0;0;0;0
4307450;0;0;0;0;0;0
5208152;1;0;0;0;0;0
1705102;0;1;0;0;2;0
5202353;0;0;0;0;1;0
4306452;0;0;2;0;2;0
4210209;0;0;1;0;0;0
3144375;0;0;1;0;0;0
2201572;0;0;1;0;0;0
4217550;0;0;0;0;0;0
3113107;0;0;0;0;0;0
4202438;0;0;0;0;2;0
4318622;1;0;0;2;1;0
5206701;0;1;0;0;0;0
3121902;1;1;0;0;1;0
4103222;0;0;0;0;1;0
4201802;0;0;1;0;1;0
3119708;0;0;0;0;0;0
3153707;0;0;0;0;0;0
4213351;0;0;0;4;2;0
2401909;0;0;0;0;1;0
5218789;0;0;0;0;0;0
4319356;0;0;0;0;0;0
1100262;0;4;0;0;0;0
2505907;0;0;1;0;0;0
5207501;0;0;0;0;0;0
5203962;0;2;1;0;1;0
5204557;0;0;0;0;0;0
1718840;1;0;0;0;0;0
3126950;0;1;0;0;0;0
4122107;0;0;0;0;0;0
4108551;0;0;1;0;1;0
3114709;0;0;0;0;0;0
2202075;0;0;0;0;2;0
4313359;0;0;0;0;0;0
5218052;1;0;0;0;2;0
3542800;1;1;0;1;1;0
2207355;0;0;0;0;0;0
2513984;0;0;0;0;0;0
3148806;0;0;0;0;2;0
4209805;0;0;2;0;0;0
2414456;0;1;0;0;2;0
3171501;0;1;0;0;1;0
5215652;0;0;0;0;1;0
4206801;0;0;1;1;2;0
3125309;0;0;0;0;0;0
4117404;0;0;0;0;1;0
3129905;0;0;0;0;0;0
3161056;2;1;0;0;0;0
3552551;0;1;0;0;1;0
5103361;0;0;1;0;0;0
4203154;0;0;0;0;0;0
5204607;0;0;0;0;0;0
3119807;0;0;0;0;2;0
2806909;1;0;1;0;3;0
4126652;0;2;1;0;0;0
3143708;0;0;0;0;0;0
2411809;1;0;0;0;1;0
4306700;0;0;0;1;0;0
3106101;1;0;1;0;2;0
5108105;0;0;0;0;1;0
1501253;0;1;0;0;1;0
4112900;1;0;0;0;2;0
4120333;0;1;0;0;0;0
5200829;0;0;0;0;0;0
3119005;0;0;1;0;0;0
4216354;0;1;0;0;2;0
3543600;2;0;0;0;1;0
3533304;1;0;0;1;1;0
4310553;0;1;0;0;0;0
3141306;0;0;1;0;0;0
1702703;0;0;1;0;3;0
3137908;0;0;0;0;0;0
5221452;0;0;0;0;0;0
2410009;0;1;1;0;0;0
2803807;0;1;1;0;0;0
4202859;0;0;0;1;1;0
3115409;0;0;0;1;0;0
5106190;0;0;0;0;1;0
4305371;1;0;1;0;1;0
5214903;0;0;0;0;0;0
4107553;0;2;1;1;0;0
4205605;1;1;0;0;0;0
4116604;0;0;0;0;1;0
3540101;2;1;0;0;0;0
3171105;0;0;0;0;0;0
4323754;0;0;1;0;3;0
3161650;0;3;0;0;0;0
3149200;0;0;0;0;0;0
4304101;0;1;1;0;0;0
3166105;0;0;0;0;1;0
4201604;0;0;0;1;1;0
5203575;0;0;0;0;0;0
1711506;0;2;0;0;0;0
2513000;0;0;0;0;0;0
4107124;1;2;0;0;0;0
4314035;0;0;0;0;2;0
2505501;0;0;0;0;0;0
3160900;1;0;0;0;3;0
3124708;0;0;0;1;0;0
5007976;1;0;0;0;1;0
5215207;0;0;1;0;1;0
2409506;0;1;0;0;1;0
2501351;2;0;0;0;0;0
4322327;0;0;2;0;0;0
5205521;1;0;0;1;3;0
1101476;0;1;0;0;2;0
1711951;0;1;0;0;0;0
4218350;1;0;0;0;0;0
1710904;0;1;0;0;0;0
4219101;0;0;0;0;1;0
2407252;0;0;0;0;2;0
3538303;0;0;0;0;0;0
3160009;0;0;0;0;0;0
2513356;0;2;0;0;0;0
5221007;0;0;0;0;0;0
3102407;2;1;1;0;0;0
4305603;0;0;2;0;0;0
5206503;1;0;0;0;1;0
2503407;0;0;0;0;0;0
3500204;0;0;0;1;0;0
5215900;0;0;0;0;1;0
2210623;0;0;1;0;0;0
4101655;0;1;0;0;0;0
3110806;1;0;0;0;2;0
3507159;2;0;1;0;1;0
4123956;0;0;0;0;0;0
5209606;1;0;0;0;0;0
1100908;1;1;0;0;0;0
4311130;0;1;2;0;0;0
4204178;0;0;0;0;0;0
2406155;0;0;0;0;1;0
3159407;0;0;0;0;0;0
4111308;0;0;0;0;2;0
5107297;1;0;1;0;0;0
2411106;0;0;0;0;0;0
3156403;0;0;0;0;1;0
4219408;0;1;0;0;1;0
4205159;0;0;0;0;1;0
5107578;0;0;0;0;0;0
5200902;0;0;1;0;1;0
4315552;0;0;1;0;1;0
3158409;0;0;0;0;0;0
3551207;0;4;1;0;0;0
2510501;0;0;0;0;0;0
4307815;0;0;0;0;0;0
