"Microrregiao" "SEXO" "IDADE.CAT" "tot.pop"
25011 1 0 16870
25011 1 1 14997
25012 0 0 31138
25012 0 1 29734
25012 1 0 32075
25012 1 1 26788
25013 0 0 24960
25013 0 1 22568
25013 1 0 25688
25013 1 1 20207
25014 0 0 14025
25014 0 1 13453
25014 1 0 14182
25014 1 1 11936
25015 0 0 31220
25015 0 1 27875
25015 1 0 32343
25015 1 1 25050
25016 0 0 42852
25016 0 1 41272
25016 1 0 44038
25016 1 1 36665
25017 0 0 131261
25017 0 1 131872
25017 1 0 131043
25017 1 1 108493
25018 0 0 28236
25018 0 1 27228
25018 1 0 28942
25018 1 1 24155
25019 0 0 14820
25019 0 1 12670
25019 1 0 15004
25019 1 1 11486
25020 0 0 38835
25020 0 1 32549
25020 1 0 40203
25020 1 1 30436
25021 0 0 35336
25021 0 1 31803
25021 1 0 36286
25021 1 1 29320
25022 0 0 268682
25022 0 1 278070
25022 1 0 262679
25022 1 1 225184
25023 0 0 23751
25023 0 1 17644
25023 1 0 24071
25023 1 1 16959
26001 0 0 90252
26001 0 1 65387
26001 1 0 91502
26001 1 1 60501
26002 0 0 45044
26002 0 1 36670
26002 1 0 46707
26002 1 1 33608
26003 0 0 83055
26003 0 1 78501
26003 1 0 83744
26003 1 1 69303
26004 0 0 59866
26004 0 1 49128
26004 1 0 60406
26004 1 1 43156
26005 0 0 129661
26005 0 1 96140
26005 1 0 129852
26005 1 1 88338
26006 0 0 39104
26006 0 1 28650
26006 1 0 40094
26006 1 1 26364
26007 0 0 52656
26007 0 1 38564
26007 1 0 53366
26007 1 1 35431
26008 0 0 229209
26008 0 1 212056
26008 1 0 228996
26008 1 1 181910
26009 0 0 77250
26009 0 1 63285
26009 1 0 77698
26009 1 1 55496
26010 0 0 66208
26010 0 1 63669
26010 1 0 67463
26010 1 1 55836
26011 0 0 122585
26011 0 1 105232
26011 1 0 122991
26011 1 1 91309
26012 0 0 58103
26012 0 1 51849
26012 1 0 59334
26012 1 1 47104
26013 0 0 144235
26013 0 1 130620
26013 1 0 145265
26013 1 1 115648
26014 0 0 57212
26014 0 1 53833
26014 1 0 57695
26014 1 1 46840
26015 0 0 161162
26015 0 1 121399
26015 1 0 163602
26015 1 1 113127
26016 0 0 43350
26016 0 1 39566
26016 1 0 45955
26016 1 1 36959
26017 0 0 799098
26017 0 1 936917
26017 1 0 785719
26017 1 1 737321
26018 0 0 73414
26018 0 1 61499
26018 1 0 74456
26018 1 1 56293
26019 0 0 634
26019 0 1 704
26019 1 0 647
26019 1 1 645
27001 0 0 27088
27001 0 1 17825
27001 1 0 27547
27001 1 1 17027
27002 0 0 23669
27002 0 1 17339
27002 1 0 23531
27002 1 1 15093
27003 0 0 52201
27003 0 1 34581
27003 1 0 52700
27003 1 1 31746
27004 0 0 27313
27004 0 1 19686
27004 1 0 27173
27004 1 1 18148
27005 0 0 47917
27005 0 1 42388
27005 1 0 47907
27005 1 1 36915
27006 0 0 119045
27006 0 1 92644
27006 1 0 117237
27006 1 1 81872
27007 0 0 11143
27007 0 1 7486
27007 1 0 11284
27007 1 1 7464
27008 0 0 43305
27008 0 1 31388
27008 1 0 43508
27008 1 1 28372
27009 0 0 91941
27009 0 1 58821
27009 1 0 93930
27009 1 1 56772
27010 0 0 20252
27010 0 1 12871
27010 1 0 20782
27010 1 1 12953
27011 0 0 309771
27011 0 1 292580
27011 1 0 301327
27011 1 1 237004
27012 0 0 86385
27012 0 1 57931
27012 1 0 86199
27012 1 1 53881
27013 0 0 35828
27013 0 1 27329
27013 1 0 36431
27013 1 1 24964
28001 0 0 45729
28001 0 1 31726
28001 1 0 47274
28001 1 1 31453
28002 0 0 18194
28002 0 1 16389
28002 1 0 18599
28002 1 1 15327
28003 0 0 17309
28003 0 1 14525
28003 1 0 17589
28003 1 1 13524
28004 0 0 43750
28004 0 1 37520
28004 1 0 44669
28004 1 1 34349
28005 0 0 29367
28005 0 1 26145
28005 1 0 29649
28005 1 1 23564
28006 0 0 31140
28006 0 1 26882
28006 1 0 31598
28006 1 1 24627
28007 0 0 25476
28007 0 1 20345
28007 1 0 26326
28007 1 1 18997
28008 0 0 13537
28008 0 1 9969
28008 1 0 13797
28008 1 1 9537
28009 0 0 15802
28009 0 1 11420
28009 1 0 16264
28009 1 1 11215
28010 0 0 26693
28010 0 1 19129
28010 1 0 26596
28010 1 1 17245
28011 0 0 225904
28011 0 1 215530
28011 1 0 220519
28011 1 1 173863
28012 0 0 44687
28012 0 1 33391
28012 1 0 45642
28012 1 1 31607
28013 0 0 35844
28013 0 1 26573
28013 1 0 36579
28013 1 1 24632
29001 0 0 85052
29001 0 1 55951
29001 1 0 86191
29001 1 1 58924
29002 0 0 30669
29002 0 1 24321
29002 1 0 33720
29002 1 1 26114
29003 0 0 47228
29003 0 1 40683
29003 1 0 49559
29003 1 1 40841
29004 0 0 128368
29004 0 1 99042
29004 1 0 131578
29004 1 1 95417
29005 0 0 45367
29005 0 1 40400
29005 1 0 45427
29005 1 1 35924
29006 0 0 50694
29006 0 1 33630
29006 1 0 52827
29006 1 1 34495
29007 0 0 49429
29007 0 1 34839
29007 1 0 51749
29007 1 1 35219
29008 0 0 77193
29008 0 1 65905
29008 1 0 79478
29008 1 1 64205
29009 0 0 101605
29009 0 1 83679
29009 1 0 105358
29009 1 1 82656
29010 0 0 88129
29010 0 1 76520
29010 1 0 89751
29010 1 1 72424
29011 0 0 67921
29011 0 1 57888
29011 1 0 70517
29011 1 1 53033
29012 0 0 266859
29012 0 1 247312
29012 1 0 266327
29012 1 1 209540
29013 0 0 27680
29013 0 1 21219
29013 1 0 28946
29013 1 1 21548
29014 0 0 79810
29014 0 1 67733
29014 1 0 82954
29014 1 1 67683
29015 0 0 83270
